,timestamp,Stock,Close,Volume,RSI,BBANDS_Up,BBANDS_Mid,BBANDS_Low,BETA,Sector,Name,Employees,Exchange_Symbol
1123,2019-11-12 00:00:00-05:00,MMM,170.84,2086519.0,55.721090771341366,176.01315118616662,172.52400000000003,169.03484881383343,1.2633746086088158,Industrials,3M Company,91536,New York Stock Exchange
2247,2019-11-12 00:00:00-05:00,ABT,84.34,4604714.0,60.088547879819664,84.49112118471598,83.67,82.84887881528402,0.662998785099347,Healthcare,Abbott Laboratories,99000,New York Stock Exchange
3371,2019-11-12 00:00:00-05:00,ABBV,86.44,14549417.0,80.55900522956678,88.01393090456062,84.27999999999999,80.54606909543935,0.4554283446330058,Healthcare,AbbVie Inc.,30000,New York Stock Exchange
4495,2019-11-12 00:00:00-05:00,ABMD,223.54,580949.0,74.51081120080448,225.09984572018783,219.39600000000013,213.69215427981243,0.39772264041948324,Healthcare,ABIOMED Inc.,208,Nasdaq Global Select
5619,2019-11-12 00:00:00-05:00,ACN,191.43,2057583.0,60.13755107326671,191.57806205123097,189.90200000000019,188.2259379487694,0.8986443368051568,Technology,Accenture plc Class A (Ireland),459000,New York Stock Exchange
6743,2019-11-12 00:00:00-05:00,ATVI,51.95,12995973.0,36.451557844948816,57.07727617378577,53.936000000000014,50.79472382621426,0.7368413058961443,Technology,Activision Blizzard Inc,9800,Nasdaq Global Select
7867,2019-11-12 00:00:00-05:00,ADBE,291.72,2255753.0,65.19053163456033,293.99535938773636,290.52400000000057,287.0526406122648,0.3750590165358988,Technology,Adobe Inc.,17973,Nasdaq Global Select
8991,2019-11-12 00:00:00-05:00,AMD,36.71,60882182.0,77.12439246395641,36.79838446578227,36.303999999999995,35.80961553421772,0.9139114834483444,Technology,Advanced Micro Devices Inc.,8900,Nasdaq Global Select
10115,2019-11-12 00:00:00-05:00,AAP,156.14,4352720.0,38.19503888482899,176.51382959061777,166.26800000000003,156.02217040938228,0.9487793119568294,Consumer Cyclical,Advance Auto Parts Inc W/I,71000,New York Stock Exchange
11239,2019-11-12 00:00:00-05:00,AES,18.06,10043272.0,71.69314429236393,18.149652244733645,17.77600000000002,17.402347755266398,0.6166788207724209,Utilities,The AES Corporation,21000,New York Stock Exchange
12363,2019-11-12 00:00:00-05:00,AMG,86.28,666476.0,62.494775320036744,87.5910758765803,86.59599999999996,85.60092412341962,0.7583270177271915,Financial Services,Affiliated Managers Group Inc.,4400,New York Stock Exchange
13487,2019-11-12 00:00:00-05:00,AFL,53.97,2600303.0,61.150270750783406,54.32526747477286,53.99799999999989,53.670732525226924,0.7040073875781684,Financial Services,AFLAC Incorporated,11318,New York Stock Exchange
14611,2019-11-12 00:00:00-05:00,A,77.05,1146709.0,59.247780640803285,77.46122455555708,76.44800000000006,75.43477544444305,0.7062139283286981,Healthcare,Agilent Technologies Inc.,13500,New York Stock Exchange
15735,2019-11-12 00:00:00-05:00,APD,237.01,1266913.0,73.22392970192226,243.68924593220245,230.46800000000022,217.24675406779798,0.30216525791788784,Basic Materials,Air Products and Chemicals Inc.,15300,New York Stock Exchange
16859,2019-11-12 00:00:00-05:00,AKAM,84.72,1272882.0,34.530138147246646,87.58028611012621,85.51799999999996,83.4557138898737,-0.10201888711191666,Technology,Akamai Technologies Inc.,7650,Nasdaq Global Select
17983,2019-11-12 00:00:00-05:00,ALK,70.84,593425.0,60.445442552900694,72.00648016366334,71.244,70.48151983633666,0.2876411591327967,Industrials,Alaska Air Group Inc.,21655,New York Stock Exchange
19107,2019-11-12 00:00:00-05:00,ALB,65.31,2183056.0,47.352858945834924,71.8547486891146,67.82599999999995,63.79725131088531,0.681702749573932,Basic Materials,Albemarle Corporation,5400,New York Stock Exchange
20231,2019-11-12 00:00:00-05:00,ARE,154.73,1489814.0,46.868268954280914,155.60429846605211,154.5319999999997,153.45970153394728,0.6585300039317121,Real Estate,Alexandria Real Estate Equities Inc.,323,New York Stock Exchange
21355,2019-11-12 00:00:00-05:00,ALXN,109.44,1428294.0,58.485650604050456,111.56736774429538,108.78400000000006,106.00063225570474,0.5947774829630877,Healthcare,Alexion Pharmaceuticals Inc.,2525,Nasdaq Global Select
22479,2019-11-12 00:00:00-05:00,ALGN,258.97,595008.0,75.79454394646496,261.0343274826084,258.51800000000014,256.0016725173919,0.6240592089265484,Healthcare,Align Technology Inc.,8715,Nasdaq Global Select
23603,2019-11-12 00:00:00-05:00,ALLE,114.7,565348.0,63.52025236479973,116.79885940506864,115.57200000000014,114.34514059493165,0.5270414928930063,Industrials,Allegion plc,10000,New York Stock Exchange
24727,2019-11-12 00:00:00-05:00,AGN,181.96,2774212.0,84.60858741118193,183.37388933664565,180.41000000000003,177.4461106633544,0.18692464840510153,Healthcare,Allergan plc,17800,New York Stock Exchange
